Gene,adhakari.rpkm,Adhakari_1,Adhakari_2,Adhakari_3,baker.rpkm,Baker_1,Baker_2,Baker_3,fox.rpkm,Fox_1,Fox_2,Fox_3,Fox_4,martin.rpkm,bendjilali.rpkm,risso.rpkm,Risso_1,Risso_2,Risso_3,Risso_4,Risso_5,Risso_6,average.rpkm,average.rpkm.rank,chong.protein,huh.protein,newman.protein,Lawless.protein,cell.cycle.phase,Essential
Q0010,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0017,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0032,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0060,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0080,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0092,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0110,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0142,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0143,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0144,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0182,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Q0255,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YAL067W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.5902,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YAL068W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YAL069W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YAR010C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,70.9003,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YAR060C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,5.44315,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YAR069C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.18138,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBL005W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBL039C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBL100W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBL107W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1863.61,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBL108W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.397701,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBL111C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4.62518,0,0,0,0,0,0,0,0,0,NA,NA,279,NA,NA,G1,NA
YBL112C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,28.449,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YBR012W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBR131C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YBR223W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,451.235,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
